"Player","Team","Points","Cost"
"Kurzawa","Fulham",0,"£4.3"
"Cédric","Arsenal",1,"£4.2"
"Holding","Arsenal",4,"£4.2"
"Tomiyasu","Arsenal",21,"£4.2"
"Chambers","Aston Villa",4,"£4.2"
"Jansson","Brentford",16,"£4.2"
"Lamptey","Brighton",9,"£4.2"
"Keane","Everton",1,"£4.2"
"Söyüncü","Leicester",2,"£4.2"
"Thomas","Leicester",0,"£4.2"
"Ritchie","Newcastle",1,"£4.2"
"Manquillo","Newcastle",1,"£4.2"
"Worrall","Nottingham Forest",11,"£4.2"
"Mbe Soh","Nottingham Forest",0,"£4.2"
"Biancone","Nottingham Forest",2,"£4.2"
"Bednarek","Aston Villa",3,"£4.2"
"Reguilón","Tottenham",0,"£4.2"
"Coufal","West Ham",20,"£4.2"
"Boly","Nottingham Forest",0,"£4.2"
"Aït-Nouri","Wolves",23,"£4.2"
"Malacia","Manchester Utd",18,"£4.2"
"N.Williams","Nottingham Forest",29,"£4.1"
"Spence","Tottenham",3,"£4.1"
"Thompson","Brentford",0,"£4.0"
"Roberts","Brighton",0,"£4.0"
"Branthwaite","Everton",0,"£4.0"
"Patterson","Everton",22,"£4.0"
"Nkounkou","Everton",0,"£4.0"
"Bailly","Manchester Utd",0,"£4.0"
"Dräger","Nottingham Forest",0,"£4.0"
"Panzo","Nottingham Forest",0,"£4.0"
"Valery","Southampton",0,"£4.0"
"Rodon","Tottenham",0,"£4.0"
"R.Williams","Liverpool",0,"£4.0"
"Davies","Liverpool",0,"£4.0"
"Van den Berg","Liverpool",0,"£4.0"
"Kesler Hayden","Aston Villa",0,"£4.0"
"Stevens","Brentford",0,"£4.0"
"Clarke","Brighton",0,"£4.0"
"Van Hecke","Brighton",1,"£4.0"
"Emerson","West Ham",6,"£4.0"
"Drameh","Leeds",1,"£4.0"
"Chambers","Liverpool",0,"£4.0"
"Zanka","Brentford",11,"£4.0"
"Bevan","Bournemouth",1,"£4.0"
"Welch","Everton",0,"£4.0"
"Larios","Southampton",4,"£4.0"
"Sousa","Arsenal",0,"£4.0"
"Parkes","Fulham",0,"£4.0"
"John","Everton",0,"£4.0"
"Bogarde","Aston Villa",0,"£4.0"
"Turns","Brighton",0,"£4.0"
"Balmer","Crystal Palace",0,"£4.0"
"Wormleighton","Leicester",0,"£4.0"
"Crama","Brentford",0,"£4.0"
"Furlong","Brighton",0,"£4.0"
"Guilbert","Aston Villa",0,"£3.9"
"Goode","Brentford",0,"£3.9"
"Kenedy","Chelsea",0,"£3.9"
"Tomkins","Crystal Palace",1,"£3.9"
"Ferguson","Crystal Palace",0,"£3.9"
"Kongolo","Fulham",0,"£3.9"
"Hjelde","Leeds",0,"£3.9"
"Bertrand","Leicester",0,"£3.9"
"Vestergaard","Leicester",0,"£3.9"
"Brunt","Leicester",0,"£3.9"
"Ramsay","Liverpool",0,"£3.9"
"Mbete","Manchester City",0,"£3.9"
"Jones","Manchester Utd",0,"£3.9"
"Dummett","Newcastle",0,"£3.9"
"Tanganga","Tottenham",0,"£3.9"
"Toti","Wolves",8,"£3.9"
"Mosquera","Wolves",0,"£3.9"
"Phillips","Liverpool",2,"£3.9"
"Ashby","West Ham",0,"£3.9"
"Bueno","Wolves",10,"£3.9"
"Lewis","Manchester City",3,"£3.9"
"Wilson-Esbrand","Manchester City",0,"£3.8"
"B.Williams","Manchester Utd",0,"£3.8"
"Salah","Liverpool",80,"£12.7"
"De Bruyne","Manchester City",88,"£12.6"
"Son","Tottenham",53,"£11.6"
"Fernandes","Manchester Utd",42,"£9.8"
"Sterling","Chelsea",45,"£9.7"
"Foden","Manchester City",67,"£8.3"
"Maddison","Leicester",71,"£8.2"
"Bowen","West Ham",45,"£8.1"
"Saka","Arsenal",73,"£8.0"
"Kulusevski","Tottenham",36,"£8.0"
"Luis Díaz","Liverpool",39,"£7.8"
"Mount","Chelsea",51,"£7.6"
"Zaha","Crystal Palace",64,"£7.5"
"Mahrez","Manchester City",22,"£7.5"
"Antony","Manchester Utd",28,"£7.5"
"Gündogan","Manchester City",43,"£7.3"
"Sancho","Manchester Utd",40,"£7.2"
"Trossard","Brighton",78,"£7.1"
"Raphinha","Leeds",0,"£7.0"
"Barnes","Leicester",53,"£6.9"
"Bernardo","Manchester City",62,"£6.9"
"Martinelli","Arsenal",71,"£6.8"
"Grealish","Manchester City",27,"£6.8"
"Rashford","Manchester Utd",60,"£6.7"
"Coutinho","Aston Villa",18,"£6.6"
"Sinisterra","Leeds",22,"£6.5"
"Ødegaard","Arsenal",61,"£6.4"
"Rodrigo","Leeds",64,"£6.3"
"Tielemans","Leicester",54,"£6.3"
"Eriksen","Manchester Utd",37,"£6.3"
"Saint-Maximin","Newcastle",33,"£6.2"
"Ward-Prowse","Southampton",39,"£6.2"
"James","Fulham",15,"£6.0"
