Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
418,Takehiro Tomiyasu,jp JPN,DF,Arsenal,23-364,1998,11,4,410,4.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.02,0.04,0.02,0.04,Matches,b3af9be1
419,James Tomkins,eng ENG,DF,Crystal Palace,33-220,1989,1,0,48,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e7ca0439
420,Ivan Toney,eng ENG,FW,Brentford,26-233,1996,13,13,1170,13.0,8,2,5,3,3,5,0,0.62,0.15,0.77,0.38,0.54,7.0,4.7,2.0,6.7,0.54,0.16,0.70,0.36,0.52,Matches,e09f279b
421,Adama Traoré,es ESP,MF,Wolves,26-283,1996,10,5,509,5.7,1,0,1,0,0,0,0,0.18,0.00,0.18,0.18,0.18,0.5,0.5,0.8,1.3,0.09,0.13,0.23,0.09,0.23,Matches,9a28eba4
422,Boubacar Traoré,ml MLI,MF,Wolves,21-076,2001,6,2,205,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,999ceb5f
423,Mark Travers,ie IRL,GK,Bournemouth,23-170,1999,6,5,495,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,fe558029
424,Kieran Trippier,eng ENG,DF,Newcastle Utd,32-046,1990,13,13,1155,12.8,1,2,1,0,0,2,0,0.08,0.16,0.23,0.08,0.23,0.4,0.4,3.4,3.7,0.03,0.26,0.29,0.03,0.29,Matches,21512407
425,Leandro Trossard,be BEL,MFDF,Brighton,27-335,1994,12,12,1003,11.1,7,1,7,0,0,1,0,0.63,0.09,0.72,0.63,0.72,4.2,4.2,1.5,5.7,0.38,0.14,0.51,0.38,0.51,Matches,38ceb24a
426,Kostas Tsimikas,gr GRE,DF,Liverpool,26-176,1996,9,4,362,4.0,0,3,0,0,0,1,0,0.00,0.75,0.75,0.00,0.75,0.2,0.2,0.6,0.8,0.06,0.14,0.19,0.06,0.19,Matches,f315ca93
427,Deniz Undav,de GER,FWMF,Brighton,26-108,1996,6,0,60,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.61,0.25,0.87,0.61,0.87,Matches,dd549382
428,Yan Valery,tn TUN,DF,Southampton,23-255,1999,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,531a4aa8
429,Virgil van Dijk,nl NED,DF,Liverpool,31-119,1991,12,12,1080,12.0,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.8,0.8,0.0,0.8,0.07,0.00,0.07,0.07,0.07,Matches,e06683ca
430,Raphaël Varane,fr FRA,DF,Manchester Utd,29-193,1993,10,8,684,7.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches,9f8e9423
431,Jamie Vardy,eng ENG,FW,Leicester City,35-297,1987,13,8,708,7.9,1,4,1,0,0,1,0,0.13,0.51,0.64,0.13,0.64,2.0,2.0,0.4,2.4,0.25,0.06,0.31,0.25,0.31,Matches,45963054
432,Joël Veltman,nl NED,DF,Brighton,30-293,1992,11,11,914,10.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.05,0.02,0.07,0.05,0.07,Matches,dad4b285
433,Fabio Vieira,pt POR,MF,Arsenal,22-158,2000,7,1,172,1.9,1,0,1,0,0,0,0,0.52,0.00,0.52,0.52,0.52,0.3,0.3,0.2,0.5,0.14,0.11,0.25,0.14,0.25,Matches,6412cc03
434,Rúben Vinagre,pt POR,DFMF,Everton,23-209,1999,2,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,b937e490
435,Carlos Vinícius,br BRA,FW,Fulham,27-224,1995,7,1,162,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.08,0.15,0.23,0.08,0.23,Matches,8b529245
436,Theo Walcott,eng ENG,MFFW,Southampton,33-233,1989,1,0,18,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,1ecb65be
437,Kyle Walker,eng ENG,DF,Manchester City,32-160,1990,7,7,560,6.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.05,0.02,0.07,0.05,0.07,Matches,86dd77d1
438,Kyle Walker-Peters,eng ENG,DF,Southampton,25-205,1997,11,11,952,10.6,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,0.7,0.7,0.7,1.4,0.07,0.07,0.13,0.07,0.13,Matches,984a5a64
439,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,24-343,1997,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,9e525177
440,Danny Ward,wls WAL,GK,Leicester City,29-135,1993,13,13,1170,13.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d3ce0e89
441,Joel Ward,eng ENG,DF,Crystal Palace,33-006,1989,11,11,990,11.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches,8a7ff278
442,James Ward-Prowse,eng ENG,MF,Southampton,28-003,1994,13,13,1170,13.0,1,1,1,0,0,2,0,0.08,0.08,0.15,0.08,0.15,0.7,0.7,2.2,2.9,0.05,0.17,0.23,0.05,0.23,Matches,3515d404
443,Ollie Watkins,eng ENG,FWMF,Aston Villa,26-309,1995,13,12,1095,12.2,2,2,2,0,0,1,0,0.16,0.16,0.33,0.16,0.33,4.3,4.3,1.7,6.0,0.35,0.14,0.50,0.35,0.50,Matches,aed3a70f
