Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34
,,,,,,,Playing Time,,,,Performance,,,,,,,Per 90 Minutes,,,,,Expected,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
152,Tyrese Francois,au AUS,MF,Fulham,22-112,2000,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6722d4f0
153,Ryan Fraser,sct SCO,FW,Newcastle Utd,28-254,1994,8,3,313,3.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.7,0.09,0.11,0.20,0.09,0.20,Matches,d56543a0
154,Fred,br BRA,MF,Manchester Utd,29-245,1993,11,4,398,4.4,1,0,1,0,0,2,0,0.23,0.00,0.23,0.23,0.23,0.8,0.8,0.8,1.6,0.18,0.17,0.35,0.18,0.35,Matches,b853e0ad
155,Ryan Fredericks,eng ENG,DF,Bournemouth,30-026,1992,7,4,379,4.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03,Matches,c067631c
156,Remo Freuler,ch SUI,MF,Nott'ham Forest,30-204,1992,9,7,663,7.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.02,0.02,0.04,0.02,0.04,Matches,98d2c2c4
157,Conor Gallagher,eng ENG,MF,Chelsea,22-272,2000,10,6,381,4.2,1,1,1,0,0,2,1,0.24,0.24,0.47,0.24,0.47,0.5,0.5,1.2,1.7,0.11,0.28,0.39,0.11,0.39,Matches,c2731c10
158,Idrissa Gana Gueye,sn SEN,MF,Everton,33-040,1989,8,7,603,6.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,72c812f3
159,Alejandro Garnacho,es ESP,MF,Manchester Utd,18-127,2004,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7aa8adfe
160,James Garner,eng ENG,MF,Everton,21-237,2001,5,0,97,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05,Matches,4e015693
161,David de Gea,es ESP,GK,Manchester Utd,31-363,1990,12,12,1080,12.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches,7ba6d84e
162,Joe Gelhardt,eng ENG,FWMF,Leeds United,20-185,2002,9,1,157,1.7,0,1,0,0,0,0,0,0.00,0.57,0.57,0.00,0.57,0.6,0.6,0.1,0.8,0.35,0.08,0.43,0.35,0.43,Matches,01962d0d
163,Saman Ghoddos,ir IRN,MFFW,Brentford,29-060,1993,5,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f7b1d4e0
164,Morgan Gibbs-White,eng ENG,MF,Wolves,22-282,2000,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.8,0.36,0.04,0.40,0.36,0.40,Matches,32f60ed8
165,Morgan Gibbs-White,eng ENG,FWMF,Nott'ham Forest,22-282,2000,11,10,861,9.6,0,2,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,1.1,1.1,1.5,2.5,0.11,0.15,0.26,0.11,0.26,Matches,32f60ed8
166,Billy Gilmour,sct SCO,MF,Brighton,21-147,2001,3,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,df10e27c
167,Degnand Gnonto,it ITA,MF,Leeds United,19-000,2003,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,75fdd638
168,Ben Godfrey,eng ENG,DF,Everton,24-294,1998,1,1,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,9f7c837d
169,Toti Gomes,pt POR,DF,Wolves,23-293,1999,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03,Matches,f0caab96
170,Joe Gomez,eng ENG,DF,Liverpool,25-166,1997,10,8,793,8.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.01,0.02,0.03,0.01,0.03,Matches,7a11550b
171,Sergio Gómez,es ESP,DFMF,Manchester City,22-062,2000,5,0,111,1.2,0,1,0,0,0,0,0,0.00,0.81,0.81,0.00,0.81,0.1,0.1,0.4,0.5,0.11,0.33,0.44,0.11,0.44,Matches,01e5f06e
172,Anthony Gordon,eng ENG,FWMF,Everton,21-254,2001,12,11,947,10.5,3,0,3,0,0,6,0,0.29,0.00,0.29,0.29,0.29,2.6,2.6,0.5,3.0,0.24,0.04,0.29,0.24,0.29,Matches,2bd83368
173,Demarai Gray,eng ENG,FWMF,Everton,26-130,1996,13,13,1104,12.3,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,2.2,2.2,2.0,4.1,0.18,0.16,0.34,0.18,0.34,Matches,4468ec10
174,Jack Grealish,eng ENG,FWMF,Manchester City,27-056,1995,7,5,484,5.4,1,0,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,0.8,0.8,1.2,1.9,0.14,0.22,0.36,0.14,0.36,Matches,b0b4fd3e
175,Sam Greenwood,eng ENG,MF,Leeds United,20-283,2002,4,1,106,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.21,0.04,0.25,0.21,0.25,Matches,f3354c07
176,Pascal Groß,de GER,MFFW,Brighton,31-143,1991,12,12,1012,11.2,4,2,4,0,0,1,0,0.36,0.18,0.53,0.36,0.53,2.5,2.5,3.4,5.9,0.23,0.30,0.52,0.23,0.52,Matches,8aec0537
177,Vicente Guaita,es ESP,GK,Crystal Palace,35-299,1987,12,12,1080,12.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ab13a5aa
178,Gonçalo Guedes,pt POR,FWMF,Wolves,25-341,1996,10,6,526,5.8,0,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,0.7,0.7,0.5,1.2,0.12,0.08,0.20,0.12,0.20,Matches,e6bc67d7
179,Marc Guéhi,eng ENG,DF,Crystal Palace,22-115,2000,12,12,1080,12.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matches,d0706b27
180,Bruno Guimarães,br BRA,MF,Newcastle Utd,24-354,1997,10,10,812,9.0,2,2,2,0,0,1,0,0.22,0.22,0.44,0.22,0.44,0.5,0.5,1.3,1.8,0.06,0.14,0.20,0.06,0.20,Matches,82518f62
181,İlkay Gündoğan,de GER,MF,Manchester City,32-012,1990,10,8,712,7.9,2,1,2,0,0,0,0,0.25,0.13,0.38,0.25,0.38,1.6,1.6,2.0,3.6,0.20,0.25,0.45,0.20,0.45,Matches,819b3158
182,Erling Haaland,no NOR,FW,Manchester City,22-107,2000,11,11,920,10.2,17,3,15,2,2,0,0,1.66,0.29,1.96,1.47,1.76,9.9,8.3,2.2,10.6,0.97,0.22,1.19,0.82,1.04,Matches,1f44ac21
183,Luke Harris,wls WAL,MF,Fulham,17-216,2005,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,8c3078cd
184,Jack Harrison,eng ENG,MF,Leeds United,25-350,1996,12,11,892,9.9,1,3,1,0,0,2,0,0.10,0.30,0.40,0.10,0.40,1.3,1.3,1.9,3.2,0.13,0.19,0.32,0.13,0.32,Matches,aa849a12
185,Kai Havertz,de GER,FWMF,Chelsea,23-147,1999,11,10,802,8.9,3,0,3,0,0,3,0,0.34,0.00,0.34,0.34,0.34,2.7,2.7,0.4,3.1,0.31,0.04,0.35,0.31,0.35,Matches,fed7cb61
186,Jan Paul van Hecke,nl NED,DF,Brighton,22-150,2000,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4fd08daa
187,Hwang Hee-chan,kr KOR,FW,Wolves,26-283,1996,10,2,258,2.9,0,1,0,0,0,0,0,0.00,0.35,0.35,0.00,0.35,0.4,0.4,0.7,1.1,0.15,0.24,0.39,0.15,0.39,Matches,169fd162
188,Dean Henderson,eng ENG,GK,Nott'ham Forest,25-238,1997,13,13,1170,13.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e5a76dfe
189,Jordan Henderson,eng ENG,MF,Liverpool,32-141,1990,11,7,631,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.0,1.4,0.06,0.14,0.21,0.06,0.21,Matches,935e6b8f
190,Rico Henry,eng ENG,DF,Brentford,25-120,1997,13,13,1166,13.0,0,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,0.5,0.5,0.7,1.2,0.04,0.05,0.09,0.04,0.09,Matches,8a3c1dc7
191,Son Heung-min,kr KOR,MFFW,Tottenham,30-120,1992,13,12,1030,11.4,3,2,3,0,0,0,0,0.26,0.17,0.44,0.26,0.44,3.5,3.5,2.7,6.2,0.31,0.23,0.54,0.31,0.54,Matches,92e7e919
192,Aaron Hickey,sct SCO,DF,Brentford,20-148,2002,9,8,679,7.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches,1780bb4a
193,Joseph Hodge,ie IRL,MF,Wolves,20-052,2002,3,0,79,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.13,0.00,0.13,0.13,0.13,Matches,bd8a5d95
194,Rob Holding,eng ENG,DF,Arsenal,27-046,1995,3,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d79a8c87
195,Mason Holgate,eng ENG,DF,Everton,26-014,1996,4,3,320,3.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.6,0.08,0.08,0.16,0.08,0.16,Matches,d0042ab9
196,Will Hughes,eng ENG,MF,Crystal Palace,27-202,1995,7,0,79,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.17,0.00,0.17,0.17,0.17,Matches,a0666d3e
197,Pierre Højbjerg,dk DEN,MF,Tottenham,27-092,1995,12,12,1064,11.8,3,2,3,0,0,1,0,0.25,0.17,0.42,0.25,0.42,0.9,0.9,1.3,2.2,0.07,0.11,0.18,0.07,0.18,Matches,8b04d6c1
198,Kelechi Iheanacho,ng NGA,FWMF,Leicester City,26-033,1996,10,1,219,2.4,1,1,1,0,0,0,0,0.41,0.41,0.82,0.41,0.82,1.5,1.5,0.6,2.1,0.61,0.24,0.85,0.61,0.85,Matches,c92e1a31
199,Danny Ings,eng ENG,FW,Aston Villa,30-105,1992,12,7,632,7.0,3,0,2,1,1,3,0,0.43,0.00,0.43,0.28,0.28,2.7,1.9,0.3,2.2,0.39,0.04,0.43,0.28,0.32,Matches,07802f7f
200,Alexander Isak,se SWE,FW,Newcastle Utd,23-045,1999,3,3,242,2.7,2,0,1,1,1,0,0,0.74,0.00,0.74,0.37,0.37,2.2,1.4,0.3,1.7,0.82,0.10,0.93,0.53,0.63,Matches,8e92be30
201,Alex Iwobi,ng NGA,MF,Everton,26-186,1996,13,13,1152,12.8,1,5,1,0,0,1,0,0.08,0.39,0.47,0.08,0.47,0.4,0.4,1.9,2.3,0.03,0.15,0.18,0.03,0.18,Matches,6ca5ec4b
202,Daniel James,wls WAL,MF,Leeds United,24-360,1997,4,2,198,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.6,0.12,0.15,0.27,0.12,0.27,Matches,c931d9f9
203,Daniel James,wls WAL,MF,Fulham,24-360,1997,6,3,260,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.3,0.8,0.19,0.10,0.29,0.19,0.29,Matches,c931d9f9
204,Reece James,eng ENG,DFMF,Chelsea,22-332,1999,7,6,559,6.2,1,1,1,0,0,3,0,0.16,0.16,0.32,0.16,0.32,0.7,0.7,1.6,2.2,0.11,0.25,0.36,0.11,0.36,Matches,1265a93a
205,Vitaly Janelt,de GER,MFDF,Brentford,24-179,1998,13,9,884,9.8,1,1,1,0,0,0,0,0.10,0.10,0.20,0.10,0.20,1.0,1.0,0.7,1.6,0.10,0.07,0.16,0.10,0.16,Matches,8449d35e
206,Pontus Jansson,se SWE,DF,Brentford,31-265,1991,6,6,514,5.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,172e52d8
207,Mathias Jensen,dk DEN,MF,Brentford,26-308,1996,13,13,952,10.6,1,2,1,0,0,1,0,0.09,0.19,0.28,0.09,0.28,0.4,0.4,1.6,2.0,0.04,0.15,0.19,0.04,0.19,Matches,0f134faf
208,Gabriel Jesus,br BRA,FW,Arsenal,25-216,1997,12,12,1039,11.5,5,5,5,0,0,4,0,0.43,0.43,0.87,0.43,0.87,6.8,6.8,2.6,9.4,0.59,0.22,0.82,0.59,0.82,Matches,b66315ae
209,Raúl Jiménez,mx MEX,FW,Wolves,31-184,1991,3,2,212,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.4,1.2,0.33,0.19,0.51,0.33,0.51,Matches,b561db50
210,Joelinton,br BRA,MFFW,Newcastle Utd,26-083,1996,12,11,970,10.8,1,1,1,0,0,5,0,0.09,0.09,0.19,0.09,0.19,2.2,2.2,0.7,2.8,0.20,0.06,0.26,0.20,0.26,Matches,c17bfb65
211,Ben Johnson,eng ENG,DF,West Ham,22-285,2000,7,6,488,5.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.03,0.03,0.00,0.03,Matches,9319781b
212,Brennan Johnson,wls WAL,FWMF,Nott'ham Forest,21-166,2001,13,11,1007,11.2,2,0,1,1,2,2,0,0.18,0.00,0.18,0.09,0.09,2.6,1.0,0.5,1.6,0.23,0.05,0.28,0.09,0.14,Matches,0cd31129
213,Curtis Jones,eng ENG,MF,Liverpool,21-279,2001,3,1,155,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.11,0.11,0.21,0.11,0.21,Matches,4fb9c88f
