Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes,Player-additional
273,Emile Smith Rowe,eng ENG,MF,Arsenal,22,£ 40000 (€ 46094 $45292),£ 2080000 (€ 2396908 $2355192),,17695062
274,Rob Holding,eng ENG,DF,Arsenal,26,£ 40000 (€ 46094 $45292),£ 2080000 (€ 2396908 $2355192),,d79a8c87
275,William Saliba,fr FRA,DF,Arsenal,21,£ 40000 (€ 46094 $45292),£ 2080000 (€ 2396908 $2355192),,972aeb2a
276,Martin Dúbravka,sk SVK,GK,Manchester Utd,33,£ 40000 (€ 46094 $45292),£ 2080000 (€ 2396908 $2355192),,3a949a25
277,Bryan,es ESP,MF,Tottenham,21,£ 40000 (€ 46094 $45292),£ 2080000 (€ 2396908 $2355192),,7b5ab7f2
278,Emerson,br BRA,DFMF,Tottenham,23,£ 40000 (€ 46094 $45292),£ 2080000 (€ 2396908 $2355192),,df8b52a5
279,Oliver Skipp,eng ENG,MF,Tottenham,21,£ 40000 (€ 46094 $45292),£ 2080000 (€ 2396908 $2355192),,6250083a
280,Lewis Cook,eng ENG,MF,Bournemouth,25,£ 40000 (€ 46094 $45292),£ 2080000 (€ 2396908 $2355192),,2afc7272
281,Philip Billing,dk DEN,MFFW,Bournemouth,26,£ 40000 (€ 46094 $45292),£ 2080000 (€ 2396908 $2355192),,d328a254
282,Fabio Carvalho,pt POR,MFFW,Liverpool,19,£ 40000 (€ 46094 $45292),£ 2080000 (€ 2396908 $2355192),Unverified estimation,966e28d0
283,Harvey Elliott,za RSA,RW,Liverpool,19,£ 40000 (€ 46094 $45292),£ 2080000 (€ 2396908 $2355192),Unverified estimation,b9e1436c
284,Frederic Guilbert,fr FRA,RB,Aston Villa,27,£ 40000 (€ 46094 $45292),£ 2080000 (€ 2396908 $2355192),,5d8d7454
285,Danny Ward,wls WAL,GK,Leicester City,29,£ 40000 (€ 46094 $45292),£ 2080000 (€ 2396908 $2355192),,d3ce0e89
286,Harvey Barnes,eng ENG,MFFW,Leicester City,24,£ 40000 (€ 46094 $45292),£ 2080000 (€ 2396908 $2355192),Unverified estimation,3ea50f67
287,Fabian Schär,ch SUI,DF,Newcastle Utd,30,£ 40000 (€ 46094 $45292),£ 2080000 (€ 2396908 $2355192),,c8aa95da
288,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,28,£ 40000 (€ 46094 $45292),£ 2080000 (€ 2396908 $2355192),,450ab6fc
289,Armando Broja,al ALB,FW,Chelsea,20,£ 40000 (€ 46094 $45292),£ 2080000 (€ 2396908 $2355192),Unverified estimation,97220da2
290,Andros Townsend,eng ENG,RW,Everton,31,£ 40000 (€ 46094 $45292),£ 2080000 (€ 2396908 $2355192),Unverified estimation,b28bbd58
291,Andreas Pereira,br BRA,MF,Fulham,26,£ 40000 (€ 46094 $45292),£ 2080000 (€ 2396908 $2355192),Unverified estimation,6639e500
292,Shane Duffy,ie IRL,FWDF,Fulham,30,£ 40000 (€ 46094 $45292),£ 2080000 (€ 2396908 $2355192),,7314bba4
293,Tom Cairney,sct SCO,MF,Fulham,31,£ 40000 (€ 46094 $45292),£ 2080000 (€ 2396908 $2355192),,a8748947
294,Romain Perraud,fr FRA,DF,Southampton,24,£ 39231 (€ 45208 $44421),£ 2040000 (€ 2350814 $2309900),Unverified estimation,6dfd8f05
295,Joël Veltman,nl NED,DF,Brighton,30,£ 38462 (€ 44322 $43550),£ 2000000 (€ 2304719 $2264607),,dad4b285
296,Adam Webster,eng ENG,DF,Brighton,27,£ 38077 (€ 43878 $43115),£ 1980000 (€ 2281672 $2241961),,c40b6180
297,Jamal Lewis,nir NIR,DF,Newcastle Utd,24,£ 38000 (€ 43790 $43028),£ 1976000 (€ 2277063 $2237432),,efb9215a
298,Anthony Knockaert,fr FRA,RW,Fulham,30,£ 37500 (€ 43213 $42461),£ 1950000 (€ 2247101 $2207992),,6c679c6d
299,Bobby Reid,jm JAM,MFDF,Fulham,29,£ 37500 (€ 43213 $42461),£ 1950000 (€ 2247101 $2207992),,0f7533cd
300,Ivan Cavaleiro,pt POR,LW,Fulham,28,£ 37500 (€ 43213 $42461),£ 1950000 (€ 2247101 $2207992),,979b811d
301,Jonny Castro,es ESP,DF,Wolves,28,£ 36731 (€ 42327 $41590),£ 1910000 (€ 2201007 $2162700),,e28868f3
302,Steve Cook,eng ENG,DF,Nott'ham Forest,31,£ 35192 (€ 40554 $39848),£ 1830000 (€ 2108818 $2072116),Unverified estimation,3e5e4e63
303,Matt Turner,us USA,GK,Arsenal,28,£ 35000 (€ 40333 $39631),£ 1820000 (€ 2097295 $2060793),,4a51ba65
304,Joel Ward,eng ENG,DF,Crystal Palace,32,£ 35000 (€ 40333 $39631),£ 1820000 (€ 2097295 $2060793),,8a7ff278
305,Adam Smith,eng ENG,DF,Bournemouth,31,£ 35000 (€ 40333 $39631),£ 1820000 (€ 2097295 $2060793),,20b104bc
306,Chris Mepham,wls WAL,DF,Bournemouth,24,£ 35000 (€ 40333 $39631),£ 1820000 (€ 2097295 $2060793),Unverified estimation,fed96827
307,Junior Stanislas,eng ENG,MF,Bournemouth,32,£ 35000 (€ 40333 $39631),£ 1820000 (€ 2097295 $2060793),,6992791d
308,Ryan Fredericks,eng ENG,DF,Bournemouth,29,£ 35000 (€ 40333 $39631),£ 1820000 (€ 2097295 $2060793),Unverified estimation,c067631c
309,Patrick Bamford,eng ENG,FWMF,Leeds United,28,£ 35000 (€ 40333 $39631),£ 1820000 (€ 2097295 $2060793),,93feac6e
310,Darren Randolph,ie IRL,GK,West Ham,35,£ 35000 (€ 40333 $39631),£ 1820000 (€ 2097295 $2060793),,6385ebfb
311,Vladimír Coufal,cz CZE,DFMF,West Ham,29,£ 35000 (€ 40333 $39631),£ 1820000 (€ 2097295 $2060793),,fdf3cb77
312,Léo Bonatini,br BRA,CF,Wolves,28,£ 35000 (€ 40333 $39631),£ 1820000 (€ 2097295 $2060793),Unverified estimation,da23d58d
313,Youri Tielemans,be BEL,MF,Leicester City,25,£ 35000 (€ 40333 $39631),£ 1820000 (€ 2097295 $2060793),,56f7a928
314,Dan Burn,eng ENG,DF,Newcastle Utd,30,£ 35000 (€ 40333 $39631),£ 1820000 (€ 2097295 $2060793),Unverified estimation,b2d31e83
315,Jacob Murphy,eng ENG,FW,Newcastle Utd,27,£ 35000 (€ 40333 $39631),£ 1820000 (€ 2097295 $2060793),Unverified estimation,de112b84
316,Javier Manquillo,es ESP,RB,Newcastle Utd,28,£ 35000 (€ 40333 $39631),£ 1820000 (€ 2097295 $2060793),,758dd7f0
317,Paul Dummett,wls WAL,LB,Newcastle Utd,30,£ 35000 (€ 40333 $39631),£ 1820000 (€ 2097295 $2060793),,3fe6bd8c
318,Marcus Bettinelli,eng ENG,GK,Chelsea,30,£ 35000 (€ 40333 $39631),£ 1820000 (€ 2097295 $2060793),,0d85a4e8
319,Trevoh Chalobah,eng ENG,DF,Chelsea,23,£ 35000 (€ 40333 $39631),£ 1820000 (€ 2097295 $2060793),Unverified estimation,5515376c
320,Tariq Lamptey,gh GHA,DFMF,Brighton,21,£ 35000 (€ 40333 $39631),£ 1820000 (€ 2097295 $2060793),,f4e433d4
321,Harry Wilson,wls WAL,MF,Fulham,25,£ 32885 (€ 37895 $37235),£ 1710000 (€ 1970535 $1936239),Unverified estimation,c6dc9ecd
322,Jordan Ayew,gh GHA,MFFW,Crystal Palace,30,£ 32500 (€ 37452 $36800),£ 1690000 (€ 1947488 $1913593),,da052c14
323,Alexis Mac Allister,ar ARG,MF,Brighton,23,£ 30769 (€ 35457 $34840),£ 1600000 (€ 1843776 $1811686),,83d074ff
324,Enock Mwepu,zm ZAM,FWMF,Brighton,24,£ 30769 (€ 35457 $34840),£ 1600000 (€ 1843776 $1811686),Unverified estimation,1d5cab82
325,Marquinhos,br BRA,MF,Arsenal,19,£ 30000 (€ 34571 $33969),£ 1560000 (€ 1797681 $1766394),Unverified estimation,59878425
326,Che Adams,sct SCO,FW,Southampton,26,£ 30000 (€ 34571 $33969),£ 1560000 (€ 1797681 $1766394),,f2bf1b0f
327,Harry Winks,eng ENG,,Tottenham,26,£ 30000 (€ 34571 $33969),£ 1560000 (€ 1797681 $1766394),Unverified estimation,2f7acede
328,Eberechi Eze,eng ENG,MF,Crystal Palace,24,£ 30000 (€ 34571 $33969),£ 1560000 (€ 1797681 $1766394),,ae4fc6a4
329,Jack Stacey,eng ENG,DFMF,Bournemouth,26,£ 30000 (€ 34571 $33969),£ 1560000 (€ 1797681 $1766394),,558807c0
330,Lloyd Kelly,eng ENG,DF,Bournemouth,23,£ 30000 (€ 34571 $33969),£ 1560000 (€ 1797681 $1766394),,f31def1e
331,Ryan Christie,sct SCO,MF,Bournemouth,27,£ 30000 (€ 34571 $33969),£ 1560000 (€ 1797681 $1766394),Unverified estimation,26ce2263
332,Ezri Konsa,eng ENG,DF,Aston Villa,24,£ 30000 (€ 34571 $33969),£ 1560000 (€ 1797681 $1766394),,0313a347
333,Marvelous Nakamba,zw ZIM,DM,Aston Villa,28,£ 30000 (€ 34571 $33969),£ 1560000 (€ 1797681 $1766394),,de5b5570
334,Alex Smithies,eng ENG,GK,Leicester City,32,£ 30000 (€ 34571 $33969),£ 1560000 (€ 1797681 $1766394),Unverified estimation,bb91617c
335,James Justin,eng ENG,DF,Leicester City,24,£ 30000 (€ 34571 $33969),£ 1560000 (€ 1797681 $1766394),,fb614c44
336,Karl Darlow,eng ENG,GK,Newcastle Utd,31,£ 30000 (€ 34571 $33969),£ 1560000 (€ 1797681 $1766394),,cde3309f
337,Scott Carson,eng ENG,GK,Manchester City,36,£ 30000 (€ 34571 $33969),£ 1560000 (€ 1797681 $1766394),Unverified estimation,3e1550ee
338,Solly March,eng ENG,DFMF,Brighton,28,£ 30000 (€ 34571 $33969),£ 1560000 (€ 1797681 $1766394),,bb5fbd2b
339,James Garner,eng ENG,MF,Everton,21,£ 30000 (€ 34571 $33969),£ 1560000 (€ 1797681 $1766394),Unverified estimation,4e015693
340,Josh Onomah,eng ENG,MF,Fulham,25,£ 30000 (€ 34571 $33969),£ 1560000 (€ 1797681 $1766394),,6612cd8c
341,Nathan Ferguson,eng ENG,CB,Crystal Palace,21,£ 28846 (€ 33241 $32663),£ 1500000 (€ 1728540 $1698456),,2f8d27bc
342,Tyrick Mitchell,eng ENG,DF,Crystal Palace,22,£ 28846 (€ 33241 $32663),£ 1500000 (€ 1728540 $1698456),,5cbd1eb0
343,José Sá,pt POR,GK,Wolves,29,£ 28654 (€ 33020 $32445),£ 1490000 (€ 1717016 $1687133),Unverified estimation,903b6e8b
344,Nathan Patterson,sct SCO,DFMF,Everton,20,£ 28000 (€ 32266 $31705),£ 1456000 (€ 1677836 $1648634),,230f0471
345,Antonee Robinson,us USA,DF,Fulham,24,£ 27500 (€ 31690 $31138),£ 1430000 (€ 1647874 $1619194),,289601e6
346,Tim Ream,us USA,DF,Fulham,34,£ 26923 (€ 31025 $30485),£ 1400000 (€ 1613304 $1585225),,28b40c9c
347,Loïc Bade,fr FRA,CB,Nott'ham Forest,22,£ 26154 (€ 30139 $29614),£ 1360000 (€ 1567209 $1539933),Unverified estimation,114bbdee
348,Diogo Dalot,pt POR,DF,Manchester Utd,23,£ 25000 (€ 28809 $28308),£ 1300000 (€ 1498068 $1471995),,d9565625
349,Djed Spence,eng ENG,RB,Tottenham,21,£ 25000 (€ 28809 $28308),£ 1300000 (€ 1498068 $1471995),Unverified estimation,9bc9a519
350,Japhet Tanganga,eng ENG,DF,Tottenham,23,£ 25000 (€ 28809 $28308),£ 1300000 (€ 1498068 $1471995),,e9971f2d
351,Flynn Downes,eng ENG,MF,West Ham,23,£ 25000 (€ 28809 $28308),£ 1300000 (€ 1498068 $1471995),Unverified estimation,69fdb896
352,David Raya,es ESP,GK,Brentford,26,£ 25000 (€ 28809 $28308),£ 1300000 (€ 1498068 $1471995),,98ea5115
353,Pontus Jansson,se SWE,DF,Brentford,31,£ 25000 (€ 28809 $28308),£ 1300000 (€ 1498068 $1471995),,172e52d8
354,Demarai Gray,eng ENG,FWMF,Everton,26,£ 25000 (€ 28809 $28308),£ 1300000 (€ 1498068 $1471995),Unverified estimation,4468ec10
355,Dwight McNeil,eng ENG,FWMF,Everton,22,£ 25000 (€ 28809 $28308),£ 1300000 (€ 1498068 $1471995),Unverified estimation,fc15fb84
356,Rúben Vinagre,pt POR,DFMF,Everton,23,£ 25000 (€ 28809 $28308),£ 1300000 (€ 1498068 $1471995),,b937e490
357,Tom Davies,eng ENG,MF,Everton,24,£ 25000 (€ 28809 $28308),£ 1300000 (€ 1498068 $1471995),,9228b07c
358,Mohammed Salisu,gh GHA,DF,Southampton,23,£ 23077 (€ 26593 $26130),£ 1200000 (€ 1382832 $1358764),,0b33f6ad
359,Harry Arter,ie IRL,CM,Nott'ham Forest,32,£ 22308 (€ 25706 $25259),£ 1160000 (€ 1336737 $1313472),Unverified estimation,2f4c5a52
360,Kristoffer Ajer,no NOR,DF,Brentford,24,£ 22115 (€ 25485 $25041),£ 1150000 (€ 1325214 $1302149),Unverified estimation,a8c0acb7
361,Diego Llorente,es ESP,DF,Leeds United,28,£ 21923 (€ 25263 $24824),£ 1140000 (€ 1313690 $1290826),,bba30585
362,Illan Meslier,fr FRA,GK,Leeds United,22,£ 21923 (€ 25263 $24824),£ 1140000 (€ 1313690 $1290826),,6b625ac2
363,Ivan Toney,eng ENG,FW,Brentford,26,£ 21154 (€ 24377 $23953),£ 1100000 (€ 1267596 $1245534),,e09f279b
